"census_year","block_id","property_id","base_property_id","street_address","clue_small_area","trading_name","number_of_patrons","x_coordinate","y_coordinate","geocoded_column"
"2002","11","108972","108972","10-22 Spencer Street MELBOURNE 3000","Melbourne (CBD)","Explorers Inn","50","144.9552","-37.8205","POINT (144.9552 -37.8205)"
"2002","114","109493","109493","143-151 Therry Street MELBOURNE 3000","Melbourne (CBD)","Mercat Cross Hotel","230","144.9584","-37.8079","POINT (144.9584 -37.8079)"
"2002","115","103293","103293","502-504 Elizabeth Street MELBOURNE 3000","Melbourne (CBD)","Stork Hotel","180","144.9604","-37.8072","POINT (144.9604 -37.8072)"
"2002","115","104103","104103","34-38 Franklin Street MELBOURNE 3000","Melbourne (CBD)","Mac's Hotel","125","144.9616","-37.8075","POINT (144.9616 -37.8075)"
"2002","13","108058","108058","7-11 Queen Street MELBOURNE 3000","Melbourne (CBD)","The Bliss Lounge","210","144.96190000000001","-37.818600000000004","POINT (144.9619 -37.8186)"
"2002","14","101099","101099","16-26 Bond Street MELBOURNE 3000","Melbourne (CBD)","Bond Lounge","280","144.9631","-37.8181","POINT (144.9631 -37.8181)"
"2002","14","103165","103165","1-5 Elizabeth Street MELBOURNE 3000","Melbourne (CBD)","Hosies Tavern","270","144.9646","-37.8181","POINT (144.9646 -37.8181)"
"2002","14","103172","103172","31-39 Elizabeth Street MELBOURNE 3000","Melbourne (CBD)","Connells Tavern","350","144.9643","-37.8174","POINT (144.9643 -37.8174)"
"2002","14","103951","103951","341-347 Flinders Lane MELBOURNE 3000","Melbourne (CBD)","Bull And Bear Tavern","200","144.963","-37.8178","POINT (144.963 -37.8178)"
"2002","15","103944","103944","277-279 Flinders Lane MELBOURNE 3000","Melbourne (CBD)","De Biers","400","144.9653","-37.8172","POINT (144.9653 -37.8172)"
"2002","15","109257","109257","1-7 Swanston Street MELBOURNE 3000","Melbourne (CBD)","Young & Jackson","450","144.967","-37.8174","POINT (144.967 -37.8174)"
"2002","16","103938","103938","187 Flinders Lane MELBOURNE 3000","Melbourne (CBD)","Adelphi Hotel","80","144.9684","-37.8164","POINT (144.9684 -37.8164)"
"2002","16","104018","104018","172-192 Flinders Street MELBOURNE 3000","Melbourne (CBD)","Purple Emerald","100","144.9685","-37.8166","POINT (144.9685 -37.8166)"
"2002","17","103925","103925","121-123 Flinders Lane MELBOURNE 3000","Melbourne (CBD)","Velour","350","144.9705","-37.8157","POINT (144.9705 -37.8157)"
"2002","23","102098","102098","415-417 Collins Street MELBOURNE 3000","Melbourne (CBD)","The Sherlock Holmes Inn","70","144.9609","-37.8175","POINT (144.9609 -37.8175)"
"2002","32","102117","102117","500-514 Collins Street MELBOURNE 3000","Melbourne (CBD)","Menzies Tavern","250","144.9575","-37.8175","POINT (144.9575 -37.8175)"
"2002","33","105933","105933","425-427 Little Collins Street MELBOURNE 3000","Melbourne (CBD)","The Irish Times","170","144.9605","-37.8163","POINT (144.9605 -37.8163)"
"2002","33","105937","105937","435-443 Little Collins Street MELBOURNE 3000","Melbourne (CBD)","The Kitchen Restaurant","200","144.9601","-37.8164","POINT (144.9601 -37.8164)"
"2002","34","110669","110668","353 Little Collins Street MELBOURNE 3000","Melbourne (CBD)","Grosvenor Tavern","230","144.9631","-37.8159","POINT (144.9631 -37.8159)"
"2002","35","102141","102141","280-292 Collins Street MELBOURNE 3000","Melbourne (CBD)","The Charles Dickens Tavern","450","144.9644","-37.8155","POINT (144.9644 -37.8155)"
"2002","35","102143","102143","258-274 Collins Street MELBOURNE 3000","Melbourne (CBD)","Australia On Collins Bar","11","144.9649","-37.8154","POINT (144.9649 -37.8154)"
"2002","35","109271","109271","125-133 Swanston Street MELBOURNE 3000","Melbourne (CBD)","Hi Fi Bar & Ballroom","800","144.9658","-37.8147","POINT (144.9658 -37.8147)"
"2002","37","102158","102158","86-88 Collins Street MELBOURNE 3000","Melbourne (CBD)","Dr Martin's Tavern","291","144.9706","-37.8139","POINT (144.9706 -37.8139)"
"2002","42","105392","105392","120-138 King Street MELBOURNE 3000","Melbourne (CBD)","The Exchange Hotel","300","144.9564","-37.817","POINT (144.9564 -37.817)"
"2002","43","108069","108069","131-141 Queen Street MELBOURNE 3000","Melbourne (CBD)","The Turf Bar & Restaurant","400","144.9605","-37.8155","POINT (144.9605 -37.8155)"
"2002","46","101130","101130","193-199 Bourke Street MELBOURNE 3000","Melbourne (CBD)","The Carlton Hotel","200","144.9676","-37.8132","POINT (144.9676 -37.8132)"
"2002","46","105964","105964","188-194 Little Collins Street MELBOURNE 3000","Melbourne (CBD)","Gin Palace","150","144.9676","-37.8139","POINT (144.9676 -37.8139)"
"2002","46","108536","108536","115-127 Russell Street MELBOURNE 3000","Melbourne (CBD)","Portland Hotel","414","144.9682","-37.8137","POINT (144.9682 -37.8137)"
"2002","48","101109","101109","39-43 Bourke Street MELBOURNE 3000","Melbourne (CBD)","Spleen Central","100","144.972","-37.8119","POINT (144.972 -37.8119)"
"2002","48","105968","105968","62-66 Little Collins Street MELBOURNE 3000","Melbourne (CBD)","Bridie O'Reillys","300","144.9714","-37.8128","POINT (144.9714 -37.8128)"
"2002","48","108983","108983","103-137 Spring Street MELBOURNE 3000","Melbourne (CBD)","Hard Rock Cafe","500","144.9729","-37.812","POINT (144.9729 -37.812)"
"2002","56","101207","101207","184-186 Bourke Street MELBOURNE 3000","Melbourne (CBD)","Hollywood Karaoke Bar","150","144.9677","-37.8127","POINT (144.9677 -37.8127)"
"2002","56","108538","108538","163-169 Russell Street MELBOURNE 3000","Melbourne (CBD)","Altitude","300","144.9676","-37.8125","POINT (144.9676 -37.8125)"
"2002","57","101216","101216","21-25 Croft Alley MELBOURNE 3000","Melbourne (CBD)","The Croft Institute","250","144.9691","-37.8121","POINT (144.9691 -37.8121)"
"2002","58","101238","101238","2-8 Bourke Street MELBOURNE 3000","Melbourne (CBD)","Imperial Hotel","350","144.9727","-37.8112","POINT (144.9727 -37.8112)"
"2002","58","103621","103621","174-192 Exhibition Street MELBOURNE 3000","Melbourne (CBD)","CBD Cafe Bar","190","144.9706","-37.8112","POINT (144.9706 -37.8112)"
"2002","58","105828","105828","19-25 Little Bourke Street MELBOURNE 3000","Melbourne (CBD)","Cheers Bar & Grill","350","144.972","-37.8107","POINT (144.972 -37.8107)"
"2002","61","105716","105716","597-603 Lonsdale Street MELBOURNE 3000","Melbourne (CBD)","The Men's Gallery","675","144.9545","-37.8149","POINT (144.9545 -37.8149)"
"2002","62","105384","105384","204-208 King Street MELBOURNE 3000","Melbourne (CBD)","Great Western Hotel","383","144.9555","-37.8152","POINT (144.9555 -37.8152)"
"2002","64","104376","104376","14-20 A'Beckett Street MELBOURNE 3000","Melbourne (CBD)","Word Events","200","144.9607","-37.8133","POINT (144.9607 -37.8133)"
"2002","66","105878","105878","242-244 Little Bourke Street MELBOURNE 3000","Melbourne (CBD)","Shanghai Club","209","144.9656","-37.8121","POINT (144.9656 -37.8121)"
"2002","66","108550","108550","213-217 Russell Street MELBOURNE 3000","Melbourne (CBD)","Enka Karaoke Bar","80","144.9672","-37.8116","POINT (144.9672 -37.8116)"
"2002","67","103605","103605","231-233 Exhibition Street MELBOURNE 3000","Melbourne (CBD)","The Sen Bar","120","144.9695","-37.8105","POINT (144.9695 -37.8105)"
"2002","67","108581","108581","226-236 Russell Street MELBOURNE 3000","Melbourne (CBD)","Mai Tai Restaurant","170","144.9676","-37.811","POINT (144.9676 -37.811)"
"2002","71","105318","105318","277-287 King Street MELBOURNE 3000","Melbourne (CBD)","Golden Age Hotel","200","144.9542","-37.8137","POINT (144.9542 -37.8137)"
"2002","72","110106","110106","263-267 William Street MELBOURNE 3000","Melbourne (CBD)","Metropolitan On William Bar & Restaurant","300","144.9566","-37.8129","POINT (144.9566 -37.8129)"
"2002","74","104662","104662","106-112 Hardware Street MELBOURNE 3000","Melbourne (CBD)","Pugg Mahones Irish Bar","200","144.9607","-37.8121","POINT (144.9607 -37.8121)"
"2002","74","106017","106017","391-393 Little Lonsdale Street MELBOURNE 3000","Melbourne (CBD)","La La Land","175","144.9603","-37.8119","POINT (144.9603 -37.8119)"
"2002","77","108580","108580","244-246 Russell Street MELBOURNE 3000","Melbourne (CBD)","Jagulla","200","144.9673","-37.8105","POINT (144.9673 -37.8105)"
"2002","78","103618","103618","242-284 Exhibition Street MELBOURNE 3000","Melbourne (CBD)","Coopers Inn","400","144.97","-37.8094","POINT (144.97 -37.8094)"
"2002","78","110716","105763","42-44 Lonsdale Street MELBOURNE 3000","Melbourne (CBD)","44 Bar","260","144.971","-37.8091","POINT (144.971 -37.8091)"
"2002","78","108991","108991","267-271 Spring Street MELBOURNE 3000","Melbourne (CBD)","Elm's Family Hotel","200","144.9714","-37.8086","POINT (144.9714 -37.8086)"
"2002","84","103207","103207","315-321 Elizabeth Street MELBOURNE 3000","Melbourne (CBD)","Tabaret At Melbourne Central","250","144.9615","-37.8112","POINT (144.9615 -37.8112)"
"2002","84","105449","105449","293-299 La Trobe Street MELBOURNE 3000","Melbourne (CBD)","Duke of Kent Hotel","160","144.9605","-37.8108","POINT (144.9605 -37.8108)"
"2002","85","102597","102597","2-20 Drewery Place MELBOURNE 3000","Melbourne (CBD)","Embassy Bar","303","144.964","-37.8113","POINT (144.964 -37.8113)"
"2002","87","101023","101023","25 Bennetts Lane MELBOURNE 3000","Melbourne (CBD)","Bennetts Lane Jazz Club","360","144.9676","-37.8089","POINT (144.9676 -37.8089)"
"2002","87","106057","106057","106 Little Lonsdale Street MELBOURNE 3000","Melbourne (CBD)","Troika Bar","60","144.9686","-37.8092","POINT (144.9686 -37.8092)"
"2002","87","108565","108565","312-318 Russell Street MELBOURNE 3000","Melbourne (CBD)","Kivotos Cafe Bar","250","144.9668","-37.8093","POINT (144.9668 -37.8093)"
"2002","95","109315","109315","407-409 Swanston Street MELBOURNE 3000","Melbourne (CBD)","Basement 407","150","144.9632","-37.809","POINT (144.9632 -37.809)"
"2002","710","108617","108617","375-385 St Kilda Road MELBOURNE 3004","Melbourne (Remainder)","Royce On St Kilda Road","120","144.9755","-37.8351","POINT (144.9755 -37.8351)"
"2002","760","108642","108642","497-503 St Kilda Road MELBOURNE 3004","Melbourne (Remainder)","Cafe Dom - The Granite Bar","500","144.9791","-37.8433","POINT (144.9791 -37.8433)"
"2002","315","100514","100514","204-206 Arden Street NORTH MELBOURNE 3051","North Melbourne","North Melbourne Football Club Social Club","210","144.9414","-37.7989","POINT (144.9414 -37.7989)"
"2002","315","100514","100514","204-206 Arden Street NORTH MELBOURNE 3051","North Melbourne","Kanga Kasino","90","144.9414","-37.7989","POINT (144.9414 -37.7989)"
"2002","345","103402","103402","33 Errol Street NORTH MELBOURNE 3051","North Melbourne","Townhall Hotel North Melbourne","220","144.949","-37.8041","POINT (144.949 -37.8041)"
"2002","347","110920","110920","161-163 Errol Street NORTH MELBOURNE 3051","North Melbourne","Limerick Castle Hotel & Restaurant","50","144.9496","-37.8012","POINT (144.9496 -37.8012)"
"2002","355","105636","105636","46-50 Leveson Street NORTH MELBOURNE 3051","North Melbourne","Eldorado Hotel","400","144.9515","-37.8037","POINT (144.9515 -37.8037)"
"2002","361","109842","109842","240-248 Victoria Street NORTH MELBOURNE 3051","North Melbourne","Central Club Hotel","150","144.9581","-37.8059","POINT (144.9581 -37.8059)"
"2002","369","103507","103507","86-90 Errol Street NORTH MELBOURNE 3051","North Melbourne","Court House Hotel","140","144.95","-37.8029","POINT (144.95 -37.8029)"
"2002","375","103810","103810","5-17 Flemington Road NORTH MELBOURNE 3051","North Melbourne","The Chifley On Flemington","230","144.9558","-37.8014","POINT (144.9558 -37.8014)"
"2002","376","508976","110862","42 Courtney Street NORTH MELBOURNE 3051","North Melbourne","Metropolitan Hotel","120","144.954","-37.8014","POINT (144.954 -37.8014)"
"2002","377","102236","102236","56-58 Courtney Street NORTH MELBOURNE 3051","North Melbourne","The Castle Hotel","317","144.953","-37.8009","POINT (144.953 -37.8009)"
"2002","378","103818","103818","75-79 Flemington Road NORTH MELBOURNE 3051","North Melbourne","Redback Brewery Hotel","670","144.9533","-37.799","POINT (144.9533 -37.799)"
"2002","270","104468","104468","156-292 Grattan Street PARKVILLE 3010","Parkville","University House","611","144.9612","-37.7969","POINT (144.9612 -37.7969)"
"2002","270","104468","104468","156-292 Grattan Street PARKVILLE 3010","Parkville","U Bar","200","144.9612","-37.7969","POINT (144.9612 -37.7969)"
"2002","915","108456","108456","43-49 Royal Parade PARKVILLE 3052","Parkville","Naughtons Hotel","120","144.9575","-37.7955","POINT (144.9575 -37.7955)"
"2002","753","110606","110380","3 Southgate Avenue SOUTHBANK 3006","Southbank","P J O'Briens Irish Pub","300","144.9663","-37.8207","POINT (144.9663 -37.8207)"
"2002","859","109512","109512","146W-150W Toorak Road SOUTH YARRA 3141","South Yarra","United Kingdom Settlers Association","100","144.9844","-37.8376","POINT (144.9844 -37.8376)"
"2002","435","107481","107481","65-67 Peel Street WEST MELBOURNE 3003","West Melbourne (Residential)","Loki Bar","140","144.9555","-37.8067","POINT (144.9555 -37.8067)"
"2003","204","101613","101613","377-391 Cardigan Street CARLTON 3053","Carlton","Clyde Hotel","239","144.9658","-37.7973","POINT (144.9658 -37.7973)"
"2003","214","106186","106186","414-422 Lygon Street CARLTON 3053","Carlton","Percys Bar & Bistro","120","144.9678","-37.7969","POINT (144.9678 -37.7969)"
"2003","215","108202","108202","415-421 Rathdowne Street CARLTON 3053","Carlton","Clare Castle Hotel","50","144.9704","-37.7965","POINT (144.9704 -37.7965)"
"2003","217","103102","103102","171-175 Elgin Street CARLTON 3053","Carlton","Pugg Mahones","500","144.9687","-37.7975","POINT (144.9687 -37.7975)"
"2003","218","106222","106222","270-276 Lygon Street CARLTON 3053","Carlton","University Hotel","111","144.9672","-37.8005","POINT (144.9672 -37.8005)"
"2003","227","576967","576967","184 Rathdowne Street CARLTON 3053","Carlton","Rathdowne Tavern","248","144.9712","-37.7948","POINT (144.9712 -37.7948)"
"2003","228","101450","101450","223-227 Canning Street CARLTON 3053","Carlton","Dan O'Connell Hotel","600","144.9734","-37.793","POINT (144.9734 -37.793)"
"2003","247","106238","106238","192-202 Lygon Street CARLTON 3053","Carlton","Players On Lygon","200","144.9671","-37.8025","POINT (144.9671 -37.8025)"
"2003","252","106244","106244","160-162 Lygon Street CARLTON 3053","Carlton","Bar Centrale","500","144.9668","-37.8034","POINT (144.9668 -37.8034)"
"2003","255","101593","101593","91-95 Cardigan Street CARLTON 3053","Carlton","Hotel Lincoln","50","144.9645","-37.8045","POINT (144.9645 -37.8045)"
"2003","255","109366","109366","594-600 Swanston Street CARLTON 3053","Carlton","Plough and Harrow Hotel","400","144.9639","-37.8028","POINT (144.9639 -37.8028)"
"2003","266","106081","106081","27-31 Lygon Street CARLTON 3053","Carlton","John Curtin Hotel","350","144.9657","-37.8062","POINT (144.9657 -37.8062)"
"2003","267","106251","106251","66-88 Lygon Street CARLTON 3053","Carlton","Lagers On Lygon","80","144.9666","-37.8053","POINT (144.9666 -37.8053)"
"2003","1103","558180","558180","94-148 Harbour Esplanade DOCKLANDS 3008","Docklands","Locker Room Club Bar","500","144.9475","-37.8167","POINT (144.9475 -37.8167)"
"2003","1108","573414","573414","788-812 Bourke Street DOCKLANDS 3008","Docklands","Watermark Bar","300","144.9451","-37.8189","POINT (144.9451 -37.8189)"
"2003","131","108844","108844","1-5 Spencer Street DOCKLANDS 3005","Docklands","Holiday Inn Melbourne","130","144.955","-37.8227","POINT (144.955 -37.8227)"
"2003","618","109993","109993","178-226 Wellington Parade EAST MELBOURNE 3002","East Melbourne","Hilton Hotels of Australia (Melbourne) Pty Ltd","200","144.9835","-37.8158","POINT (144.9835 -37.8158)"
"2003","618","109993","109993","178-226 Wellington Parade EAST MELBOURNE 3002","East Melbourne","MCG Worx","144","144.9835","-37.8158","POINT (144.9835 -37.8158)"
"2003","658","110266","110266","Brunton Avenue JOLIMONT 3002","East Melbourne","Spotless Services","2545","144.9831","-37.82","POINT (144.9831 -37.82)"
"2003","105","103301","103301","442-450 Elizabeth Street MELBOURNE 3000","Melbourne (CBD)","Melbourne International Backpackers","365","144.9609","-37.8083","POINT (144.9609 -37.8083)"
"2003","105","109317","109317","427-433 Swanston Street MELBOURNE 3000","Melbourne (CBD)","The Oxford Scholar Hotel","486","144.9629","-37.8085","POINT (144.9629 -37.8085)"
"2003","11","103993","103993","508-514 Flinders Street MELBOURNE 3000","Melbourne (CBD)","Waterside Hotel","400","144.9572","-37.8202","POINT (144.9572 -37.8202)"
"2003","11","108971","108971","24-40 Spencer Street MELBOURNE 3000","Melbourne (CBD)","Holiday Inn On Flinders Melbourne","100","144.9552","-37.8202","POINT (144.9552 -37.8202)"
"2003","11","108972","108972","10-22 Spencer Street MELBOURNE 3000","Melbourne (CBD)","Explorers Inn","50","144.9552","-37.8205","POINT (144.9552 -37.8205)"
"2003","114","109493","109493","143-151 Therry Street MELBOURNE 3000","Melbourne (CBD)","Mercat Cross Hotel","230","144.9584","-37.8079","POINT (144.9584 -37.8079)"
"2003","115","103293","103293","502-504 Elizabeth Street MELBOURNE 3000","Melbourne (CBD)","Stork Hotel","180","144.9604","-37.8072","POINT (144.9604 -37.8072)"
"2003","115","104103","104103","34-38 Franklin Street MELBOURNE 3000","Melbourne (CBD)","Mac's Hotel","125","144.9616","-37.8075","POINT (144.9616 -37.8075)"
"2003","13","108058","108058","7-11 Queen Street MELBOURNE 3000","Melbourne (CBD)","The Bliss Lounge","210","144.96190000000001","-37.818600000000004","POINT (144.9619 -37.8186)"
"2003","14","101099","101099","16-26 Bond Street MELBOURNE 3000","Melbourne (CBD)","Bond Lounge","280","144.9631","-37.8181","POINT (144.9631 -37.8181)"
"2003","14","103165","103165","1-5 Elizabeth Street MELBOURNE 3000","Melbourne (CBD)","Hosies Tavern","270","144.9646","-37.8181","POINT (144.9646 -37.8181)"
"2003","14","103172","103172","31-39 Elizabeth Street MELBOURNE 3000","Melbourne (CBD)","Connells Tavern","350","144.9643","-37.8174","POINT (144.9643 -37.8174)"
"2003","14","103951","103951","341-347 Flinders Lane MELBOURNE 3000","Melbourne (CBD)","Bull And Bear Tavern","200","144.963","-37.8178","POINT (144.963 -37.8178)"
"2003","15","103944","103944","277-279 Flinders Lane MELBOURNE 3000","Melbourne (CBD)","De Biers","400","144.9653","-37.8172","POINT (144.9653 -37.8172)"
"2003","15","109257","109257","1-7 Swanston Street MELBOURNE 3000","Melbourne (CBD)","Young & Jackson","450","144.967","-37.8174","POINT (144.967 -37.8174)"
"2003","16","103938","103938","187 Flinders Lane MELBOURNE 3000","Melbourne (CBD)","Adelphi Hotel","80","144.9684","-37.8164","POINT (144.9684 -37.8164)"
"2003","16","104018","104018","172-192 Flinders Street MELBOURNE 3000","Melbourne (CBD)","Purple Emerald","100","144.9685","-37.8166","POINT (144.9685 -37.8166)"
"2003","17","103925","103925","121-123 Flinders Lane MELBOURNE 3000","Melbourne (CBD)","Velour","350","144.9705","-37.8157","POINT (144.9705 -37.8157)"
"2003","23","102098","102098","415-417 Collins Street MELBOURNE 3000","Melbourne (CBD)","The Sherlock Holmes Inn","70","144.9609","-37.8175","POINT (144.9609 -37.8175)"
"2003","32","102117","102117","500-514 Collins Street MELBOURNE 3000","Melbourne (CBD)","Menzies Tavern","250","144.9575","-37.8175","POINT (144.9575 -37.8175)"
"2003","33","105933","105933","425-427 Little Collins Street MELBOURNE 3000","Melbourne (CBD)","The Irish Times","170","144.9605","-37.8163","POINT (144.9605 -37.8163)"
"2003","33","105937","105937","435-443 Little Collins Street MELBOURNE 3000","Melbourne (CBD)","The Kitchen Restaurant","200","144.9601","-37.8164","POINT (144.9601 -37.8164)"
"2003","34","110669","110668","353 Little Collins Street MELBOURNE 3000","Melbourne (CBD)","Grosvenor Tavern","230","144.9631","-37.8159","POINT (144.9631 -37.8159)"
"2003","35","102141","102141","280-292 Collins Street MELBOURNE 3000","Melbourne (CBD)","The Charles Dickens Tavern","450","144.9644","-37.8155","POINT (144.9644 -37.8155)"
"2003","35","102143","102143","258-274 Collins Street MELBOURNE 3000","Melbourne (CBD)","Australia On Collins Bar","11","144.9649","-37.8154","POINT (144.9649 -37.8154)"
"2003","35","109271","109271","125-133 Swanston Street MELBOURNE 3000","Melbourne (CBD)","Hi Fi Bar & Ballroom","800","144.9658","-37.8147","POINT (144.9658 -37.8147)"
"2003","37","102158","102158","86-88 Collins Street MELBOURNE 3000","Melbourne (CBD)","Dr Martin's Tavern","291","144.9706","-37.8139","POINT (144.9706 -37.8139)"
"2003","42","105392","105392","120-138 King Street MELBOURNE 3000","Melbourne (CBD)","The Exchange Hotel","300","144.9564","-37.817","POINT (144.9564 -37.817)"
"2003","43","108069","108069","131-141 Queen Street MELBOURNE 3000","Melbourne (CBD)","The Turf Bar & Restaurant","400","144.9605","-37.8155","POINT (144.9605 -37.8155)"
"2003","46","101130","101130","193-199 Bourke Street MELBOURNE 3000","Melbourne (CBD)","The Carlton Hotel","200","144.9676","-37.8132","POINT (144.9676 -37.8132)"
"2003","46","105964","105964","188-194 Little Collins Street MELBOURNE 3000","Melbourne (CBD)","Gin Palace","150","144.9676","-37.8139","POINT (144.9676 -37.8139)"
"2003","46","108536","108536","115-127 Russell Street MELBOURNE 3000","Melbourne (CBD)","Portland Hotel","414","144.9682","-37.8137","POINT (144.9682 -37.8137)"
"2003","48","101109","101109","39-43 Bourke Street MELBOURNE 3000","Melbourne (CBD)","Spleen Central","100","144.972","-37.8119","POINT (144.972 -37.8119)"
"2003","48","105968","105968","62-66 Little Collins Street MELBOURNE 3000","Melbourne (CBD)","Bridie O'Reillys","300","144.9714","-37.8128","POINT (144.9714 -37.8128)"
"2003","48","108983","108983","103-137 Spring Street MELBOURNE 3000","Melbourne (CBD)","Hard Rock Cafe","500","144.9729","-37.812","POINT (144.9729 -37.812)"
"2003","56","101207","101207","184-186 Bourke Street MELBOURNE 3000","Melbourne (CBD)","Hollywood Karaoke Bar","150","144.9677","-37.8127","POINT (144.9677 -37.8127)"
"2003","56","108538","108538","163-169 Russell Street MELBOURNE 3000","Melbourne (CBD)","Altitude","300","144.9676","-37.8125","POINT (144.9676 -37.8125)"
"2003","57","101216","101216","21-25 Croft Alley MELBOURNE 3000","Melbourne (CBD)","The Croft Institute","250","144.9691","-37.8121","POINT (144.9691 -37.8121)"
"2003","58","101238","101238","2-8 Bourke Street MELBOURNE 3000","Melbourne (CBD)","Imperial Hotel","350","144.9727","-37.8112","POINT (144.9727 -37.8112)"
"2003","58","103621","103621","174-192 Exhibition Street MELBOURNE 3000","Melbourne (CBD)","CBD Cafe Bar","190","144.9706","-37.8112","POINT (144.9706 -37.8112)"
"2003","58","105828","105828","19-25 Little Bourke Street MELBOURNE 3000","Melbourne (CBD)","Cheers Bar & Grill","350","144.972","-37.8107","POINT (144.972 -37.8107)"
"2003","61","105716","105716","597-603 Lonsdale Street MELBOURNE 3000","Melbourne (CBD)","The Men's Gallery","675","144.9545","-37.8149","POINT (144.9545 -37.8149)"
"2003","62","105384","105384","204-208 King Street MELBOURNE 3000","Melbourne (CBD)","Great Western Hotel","383","144.9555","-37.8152","POINT (144.9555 -37.8152)"
"2003","64","104376","104376","14-20 A'Beckett Street MELBOURNE 3000","Melbourne (CBD)","Word Events","200","144.9607","-37.8133","POINT (144.9607 -37.8133)"
"2003","66","105878","105878","242-244 Little Bourke Street MELBOURNE 3000","Melbourne (CBD)","Shanghai Club","209","144.9656","-37.8121","POINT (144.9656 -37.8121)"
"2003","66","108550","108550","213-217 Russell Street MELBOURNE 3000","Melbourne (CBD)","Enka Karaoke Bar","80","144.9672","-37.8116","POINT (144.9672 -37.8116)"
"2003","67","103605","103605","231-233 Exhibition Street MELBOURNE 3000","Melbourne (CBD)","The Sen Bar","120","144.9695","-37.8105","POINT (144.9695 -37.8105)"
"2003","67","108581","108581","226-236 Russell Street MELBOURNE 3000","Melbourne (CBD)","Mai Tai Restaurant","170","144.9676","-37.811","POINT (144.9676 -37.811)"
"2003","71","105318","105318","277-287 King Street MELBOURNE 3000","Melbourne (CBD)","Golden Age Hotel","200","144.9542","-37.8137","POINT (144.9542 -37.8137)"
"2003","72","110106","110106","263-267 William Street MELBOURNE 3000","Melbourne (CBD)","Metropolitan On William Bar & Restaurant","300","144.9566","-37.8129","POINT (144.9566 -37.8129)"
"2003","74","104662","104662","106-112 Hardware Street MELBOURNE 3000","Melbourne (CBD)","Pugg Mahones Irish Bar","200","144.9607","-37.8121","POINT (144.9607 -37.8121)"
